meeting_id,score_speechrate,score_intensity,score_f0var,y_nonverbal,mean_gap,mean_gap_filled,score_pause,y_nonverbal_with_pause
tv001,0.07084449157848205,0.16149068322981366,0.8198757763975155,0.35073698373527046,0.6956249999999997,0.6956249999999997,0.8930743243243244,0.48632131888253394
tv002,0.0,0.2360248447204969,0.2857142857142858,0.1739130434782609,0.0,0.0,0.0,0.13043478260869568
tv003,0.0,0.17391304347826086,0.21118012422360244,0.12836438923395443,0.0,0.0,0.0,0.09627329192546583
tv004,0.0,0.7577639751552795,0.5838509316770186,0.44720496894409933,,0.0,0.0,0.3354037267080745
tv005,0.17940364847341872,0.6956521739130435,0.17391304347826098,0.3496562886215744,0.2649999999999997,0.2649999999999997,1.0,0.5122422164661808
tv006,0.8269981863335136,0.5031055900621118,0.31055900621118004,0.5468875942022685,0.176,0.176,1.0,0.6601656956517014
tv007,0.0,0.8260869565217391,0.9192546583850931,0.5817805383022775,0.11999999999999979,0.11999999999999979,1.0,0.6863354037267081
tv008,0.0,0.7018633540372671,0.6459627329192547,0.4492753623188406,0.0,0.0,0.0,0.33695652173913043
tv009,0.03997369942824314,0.5217391304347826,0.8571428571428571,0.4729518956686276,0.0,0.0,0.0,0.3547139217514707
tv010,0.0,0.06832298136645963,0.037267080745341685,0.03519668737060044,0.0,0.0,0.0,0.02639751552795033
tv011,0.1011931435626261,0.9254658385093167,0.7826086956521738,0.6030892259080388,0.0,0.0,0.0,0.45231691943102914
tv012,0.0,0.11180124223602485,0.31055900621118004,0.14078674948240164,0.0,0.0,0.0,0.10559006211180122
tv013,0.0,0.8944099378881988,0.11180124223602483,0.3354037267080745,0.0,0.0,0.0,0.2515527950310559
tv014,0.0,0.453416149068323,0.8944099378881987,0.4492753623188406,,0.0,0.0,0.33695652173913043
tv015,0.0,0.639751552795031,0.906832298136646,0.5155279503105591,,0.0,0.0,0.3866459627329193
tv016,1.0,0.937888198757764,0.07453416149068315,0.670807453416149,0.0,0.0,0.0,0.5031055900621118
tv017,0.9801459854014603,0.2981366459627329,0.18633540372670798,0.48820601169696703,,0.0,0.0,0.36615450877272526
tv018,0.0,0.07453416149068323,0.2732919254658386,0.11594202898550728,0.0,0.0,0.0,0.08695652173913046
tv019,0.6666939896529334,0.19875776397515527,0.9813664596273293,0.6156060710851393,2.5353846153846153,2.5353846153846153,0.39584199584199586,0.5606650522743535
tv020,0.0,0.7639751552795031,0.5714285714285714,0.44513457556935815,2.5014,2.5014,0.4050270270270271,0.4351076884337754
tv021,0.291561475174678,0.515527950310559,0.8819875776397517,0.5630256677083295,2.2066666666666657,2.2066666666666657,0.48468468468468495,0.5434404219524184
tv022,0.7938933461593356,0.5093167701863354,0.9565217391304348,0.7532439518253686,2.3033333333333323,2.3033333333333323,0.45855855855855876,0.6795726035086662
tv023,0.586965601921432,0.09316770186335403,0.7329192546583851,0.4710175194810571,2.1144444444444437,2.1144444444444437,0.5096096096096099,0.4806655420131953
tv024,1.0,0.7763975155279503,0.6459627329192548,0.8074534161490684,0.0,0.0,0.0,0.6055900621118013
tv025,0.18212470596182317,0.6459627329192547,0.8322981366459627,0.5534618585090135,0.0,0.0,0.0,0.4150963938817601
tv026,0.278076411820922,0.9751552795031055,0.2981366459627329,0.5171227790955868,,0.0,0.0,0.3878420843216901
tv027,0.0,0.7950310559006211,0.6086956521739131,0.46790890269151136,0.0,0.0,0.0,0.35093167701863354
tv028,0.0,0.38509316770186336,0.08695652173913038,0.15734989648033124,0.0,0.0,0.0,0.11801242236024843
tv029,0.0,0.36024844720496896,0.2360248447204969,0.1987577639751553,0.0,0.0,0.0,0.14906832298136646
tv030,0.16844335206713268,0.6583850931677019,0.6086956521739131,0.47850803246958257,0.0,0.0,0.0,0.35888102435218694
tv031,0.0,0.7453416149068323,0.7701863354037266,0.5051759834368529,0.0,0.0,0.0,0.3788819875776397
tv032,1.0,0.6894409937888198,0.21118012422360244,0.6335403726708074,0.3599999999999994,0.3599999999999994,0.983783783783784,0.7211012254490515
tv033,0.0,0.2546583850931677,0.5838509316770186,0.2795031055900621,0.0,0.0,0.0,0.20962732919254656
tv034,0.7030112540539859,0.15527950310559005,0.0993788819875776,0.31922321304905116,,0.0,0.0,0.23941740978678838
tv035,0.9261592975367652,0.577639751552795,0.84472049689441,0.7828398486613234,0.0,0.0,0.0,0.5871298864959925
tv036,1.0,0.6521739130434783,0.5093167701863354,0.7204968944099379,0.0,0.0,0.0,0.5403726708074534
tv037,0.7297834750811457,0.84472049689441,0.3850931677018634,0.6531990465591397,2.4799999999999995,2.4799999999999995,0.41081081081081094,0.5926019876220575
tv038,0.23119611375750182,0.14285714285714285,0.1987577639751552,0.19093700686326662,,0.0,0.0,0.14320275514744996
tv039,0.18089459078969394,0.18633540372670807,0.6211180124223603,0.3294493356462541,0.0,0.0,0.0,0.2470870017346906
tv040,1.0,0.6645962732919255,0.16149068322981375,0.6086956521739131,0.0,0.0,0.0,0.4565217391304348
tv041,0.8012634694473121,0.2608695652173913,0.2981366459627328,0.45342322687581205,0.0,0.0,0.0,0.34006742015685903
tv042,0.49000011216155936,0.08695652173913043,0.8198757763975155,0.4656108034327351,0.0,0.0,0.0,0.3492081025745513
