meeting_id,tot,n,dm_enum,dm_closing,dm_conn,li_aizuchi,li_understand,conf_request,conf_report,su_proposal,su_hedged,su_risk,info,listen,conf,speakup,y_weak
tv001,837.2400000000001,177,0.049687067029764484,0.0,0.21333190005255334,0.0,0.006019779274759923,0.0,0.0,0.036094787635564604,0.0,0.030887200802637318,0.9996918776150855,0.43721347427191987,0.00020630899827846105,0.9998686010298704,0.6092450654787885
tv002,229.75,54,0.0,0.0,0.14803046789989122,0.0726441784548423,0.07664853101196956,0.0,0.0,0.0,0.03603917301414582,0.0,0.5560165835999645,0.9999978130321572,0.00020630899827846105,0.055875045399553395,0.40302393775748835
tv003,139.81,36,0.0,0.0,0.13511193762964013,0.05235676990200997,0.041484872326729164,0.0,0.0,0.03147128245476002,0.09727487304198551,0.0,0.5560165835999645,0.9999978130321572,0.00020630899827846105,0.9572994167622595,0.6283800305981648
tv004,86.18,27,0.025063819911812484,0.06289162218612208,0.14017173358087726,0.0058018101647714084,0.017869575307496013,0.0,0.11464376885588297,0.0,0.0,0.0,0.9993591079965963,0.9813753752651537,0.9996931558402029,0.004521877866023084,0.7462373792419941
tv005,58.400000000000006,14,0.0,0.0,0.16712328767123286,0.0,0.014726027397260262,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.8987331268192651,0.5,0.5,0.6265843044216544
tv006,176.12,43,0.030433795139677488,0.0,0.14876220758573702,0.0007949125596184448,0.005677946854417443,0.0,0.05666590960708602,0.018737224619577546,0.04417442652736771,0.12468771292300702,0.9996918776150855,0.9813753752651537,0.997970552534601,0.9998612094034117,0.994724753704563
tv007,59.49,22,0.0,0.0,0.018490502605479936,0.0,0.0,0.0,0.0,0.0,0.0,0.012439065389140946,0.3002002702918852,0.004088839685969286,0.5,0.1130349623012105,0.22933101806976622
tv008,22.76,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv009,29.000000000000004,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv010,36.05,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv011,88.3,23,0.0,0.0,0.25934314835787087,0.02570781426953563,0.14552661381653448,0.0,0.0,0.10713476783691953,0.0,0.028086070215175545,0.3387673778533657,0.9999978130321572,0.5,0.9999334224758848,0.709674653340352
tv012,31.080000000000002,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv013,36.559999999999995,14,0.0,0.0,0.062363238512035,0.09682713347921225,0.0,0.0,0.0,0.0,0.0,0.0,0.5645625089987539,0.9996173915459167,0.5,0.5,0.6410449751361676
tv014,78.95,16,0.0962634578847372,0.0,0.20835972134262185,0.0,0.03141228625712481,0.0,0.042305256491450234,0.0,0.0,0.0,0.9999978494011043,0.9387261714334026,0.9019095771191421,0.5,0.8351583994884122
tv015,19.72,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24089660691648035,0.5,0.5,0.5,0.4352241517291201
tv016,18.9866875,3,0.0,0.0,0.47963540243657554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.5,0.5,0.5,0.5269010227168381
tv017,10.48,2,0.5229007633587787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999895064541829,0.5,0.5,0.5,0.6249973766135457
tv018,245.12,50,0.057645234986945175,0.0,0.19243635770234996,0.011994125326370748,0.025293733681462153,0.0,0.011749347258485737,0.00856723237597909,0.0150946475195822,0.0464262402088775,0.9999991201952847,0.9990385635898675,0.581204772372965,0.9995950507793946,0.894959376734378
tv019,340.96,82,0.056722196152041264,0.0,0.13115908024401676,0.02956358517128096,0.028390427029563525,0.0,0.0,0.010206475832942168,0.0,0.0442867198498357,0.9999991201952847,0.9999978130321572,0.00020630899827846105,0.9981947518486949,0.7495994985186039
tv020,996.77,198,0.054766897077560495,0.0007022683266952712,0.10562115633496173,0.004093221104166442,0.014928218144607019,0.004474452481515303,0.03148168584528028,0.005557952185559435,0.0,0.0,0.9999983837688339,0.9813753752651537,0.9749257880503758,0.6324515594512827,0.8971877766339116
tv021,469.59000000000003,79,0.0,0.0008518068953767695,0.05609148406056341,0.0,0.0,0.0,0.0,0.053855490960199315,0.0,0.008518068953768181,0.4053692761530672,0.004088839685969286,0.00020630899827846105,0.9998686010298704,0.35238325646679636
tv022,59.21,9,0.0,0.15352136463435237,0.10099645330180713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036760949161432,0.5,0.5,0.5,0.5259190237290358
