meeting_id,tot,n,dm_enum,dm_closing,dm_conn,li_aizuchi,li_understand,conf_request,conf_report,su_proposal,su_hedged,su_risk,info,listen,conf,speakup,y_weak,y_nonverbal,y_combined
tv001,837.2400000000001,177,0.0496870670297644,0.0,0.2133319000525533,0.0,0.0060197792747599,0.0,0.0,0.0360947876355646,0.0,0.0308872008026373,0.9996918776150856,0.4372134742719198,0.0002063089982784,0.9998686010298704,0.6092450654787885,0.3507369837352704,0.48464417007841276
tv002,229.75,54,0.0,0.0,0.1480304678998912,0.0726441784548423,0.0766485310119695,0.0,0.0,0.0,0.0360391730141458,0.0,0.5560165835999645,0.9999978130321572,0.0002063089982784,0.0558750453995533,0.4030239377574883,0.1739130434782609,0.2925924867149007
tv003,139.81,36,0.0,0.0,0.1351119376296401,0.0523567699020099,0.0414848723267291,0.0,0.0,0.03147128245476,0.0972748730419855,0.0,0.5560165835999645,0.9999978130321572,0.0002063089982784,0.9572994167622596,0.6283800305981648,0.1283643892339544,0.3873724914606154
tv004,86.18,27,0.0250638199118124,0.062891622186122,0.1401717335808772,0.0058018101647714,0.017869575307496,0.0,0.1146437688558829,0.0,0.0,0.0,0.9993591079965964,0.9813753752651536,0.9996931558402028,0.004521877866023,0.7462373792419941,0.4472049689440993,0.6021037574784087
tv005,58.400000000000006,14,0.0,0.0,0.1671232876712328,0.0,0.0147260273972602,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.8987331268192651,0.5,0.5,0.6265843044216544,0.3496562886215744,0.4931050008060158
tv006,176.12,43,0.0304337951396774,0.0,0.148762207585737,0.0007949125596184,0.0056779468544174,0.0,0.056665909607086,0.0187372246195775,0.0441744265273677,0.124687712923007,0.9996918776150856,0.9813753752651536,0.997970552534601,0.9998612094034116,0.994724753704563,0.5468875942022685,0.778867242824457
tv007,59.49,22,0.0,0.0,0.0184905026054799,0.0,0.0,0.0,0.0,0.0,0.0,0.0124390653891409,0.3002002702918852,0.0040888396859692,0.5,0.1130349623012105,0.2293310180697662,0.5817805383022775,0.39921168682183666
tv008,22.76,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.5,0.5,0.5,0.4352241517291201,0.4492753623188406,0.4419968352333654
tv009,29.000000000000004,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.5,0.5,0.5,0.4352241517291201,0.4729518956686276,0.45340892430796276
tv010,36.05,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.5,0.5,0.5,0.4352241517291201,0.0351966873706004,0.24241091390831362
tv011,88.3,23,0.0,0.0,0.2593431483578708,0.0257078142695356,0.1455266138165344,0.0,0.0,0.1071347678369195,0.0,0.0280860702151755,0.3387673778533657,0.9999978130321572,0.5,0.9999334224758848,0.709674653340352,0.6030892259080388,0.658300477317977
tv012,31.08,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.5,0.5,0.5,0.4352241517291201,0.1407867494824016,0.2933053238462018
tv013,36.559999999999995,14,0.0,0.0,0.062363238512035,0.0968271334792122,0.0,0.0,0.0,0.0,0.0,0.0,0.5645625089987539,0.9996173915459168,0.5,0.5,0.6410449751361676,0.3354037267080745,0.4937258933938268
tv014,78.95,16,0.0962634578847372,0.0,0.2083597213426218,0.0,0.0314122862571248,0.0,0.0423052564914502,0.0,0.0,0.0,0.9999978494011044,0.9387261714334026,0.901909577119142,0.5,0.8351583994884122,0.4492753623188406,0.6491627755726788
tv015,19.72,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.5,0.5,0.5,0.4352241517291201,0.5155279503105591,0.4739305826453737
tv016,18.9866875,3,0.0,0.0,0.4796354024365755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.5,0.5,0.5,0.5269010227168381,0.670807453416149,0.596263922313906
tv017,10.48,2,0.5229007633587787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999895064541828,0.5,0.5,0.5,0.6249973766135457,0.488206011696967,0.5590639387237548
tv018,245.12,50,0.0576452349869451,0.0,0.1924363577023499,0.0119941253263707,0.0252937336814621,0.0,0.0117493472584857,0.008567232375979,0.0150946475195822,0.0464262402088775,0.9999991201952848,0.9990385635898676,0.581204772372965,0.9995950507793946,0.894959376734378,0.1159420289855072,0.5194730151194222
tv019,340.96,82,0.0567221961520412,0.0,0.1311590802440167,0.0295635851712809,0.0283904270295635,0.0,0.0,0.0102064758329421,0.0,0.0442867198498357,0.9999991201952848,0.9999978130321572,0.0002063089982784,0.9981947518486948,0.7495994985186039,0.6156060710851393,0.685014666495674
tv020,996.77,198,0.0547668970775604,0.0007022683266952,0.1056211563349617,0.0040932211041664,0.014928218144607,0.0044744524815153,0.0314816858452802,0.0055579521855594,0.0,0.0,0.999998383768834,0.9813753752651536,0.9749257880503758,0.6324515594512827,0.8971877766339116,0.4451345755693581,0.6792981337207968
tv021,469.59,79,0.0,0.0008518068953767,0.0560914840605634,0.0,0.0,0.0,0.0,0.0538554909601993,0.0,0.0085180689537681,0.4053692761530672,0.0040888396859692,0.0002063089982784,0.9998686010298704,0.3523832564667963,0.5630256677083295,0.4539128986852153
tv022,59.21,9,0.0,0.1535213646343523,0.1009964533018071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6036760949161432,0.5,0.5,0.5,0.5259190237290358,0.7532439518253686,0.6354896390714682
tv023,397.8451250000001,102,0.0514270471455444,0.0,0.0873204114289449,0.0,0.0096017262999012,0.0,0.0327765735473069,0.008420362069285,0.0,0.0208623896044973,0.9996320343701716,0.4372134742719198,0.581204772372965,0.9607212199470636,0.74469287524053,0.4710175194810571,0.6127813537644641
tv024,62.02,15,0.0,0.0,0.0,0.0161238310222508,0.1483392454047081,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.9999978130321572,0.5,0.5,0.5602236049871594,0.8074534161490684,0.6793883739671995
tv025,103.33,31,0.0,0.0,0.1523274944353043,0.0183876899254814,0.0106455046936997,0.0,0.0330978418658666,0.0,0.0,0.023613664956934,0.5560165835999645,0.9999568740495752,0.901909577119142,0.0606513711223249,0.6296336014727517,0.5534618585090135,0.5929188213642299
tv026,22.96,5,0.0,0.1794425087108014,0.2639372822299651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6452806238500515,0.5,0.5,0.5,0.5363201559625128,0.5171227790955868,0.5270670203126544
tv027,15.02,6,0.0,0.0,0.0785619174434087,0.0,0.0,0.0,0.0,0.0,0.0,0.1624500665778961,0.5645625089987539,0.5,0.5,0.9822077777448291,0.6366925716858958,0.4679089026915113,0.5553388432306025
tv028,101.86,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.5,0.5,0.5,0.4352241517291201,0.1573498964803312,0.30128876069920385
tv029,141.23000000000002,39,0.0747716490830559,0.0,0.1104581179636054,0.032004531615096,0.1364440982794023,0.0,0.0233661403384549,0.0,0.0,0.104935212065425,0.9999989492577062,0.9999978130321572,0.581204772372965,0.5934403499041494,0.7936604711417444,0.1987577639751553,0.5069173662874484
tv030,188.93,59,0.0263589689302916,0.0,0.1162335256444185,0.0094214788546021,0.0076218705340603,0.0,0.0,0.0,0.0,0.0,0.9996918776150856,0.9813753752651536,0.0002063089982784,0.004521877866023,0.4964488599361352,0.4785080324695825,0.4878013810972568
tv031,62.48,8,0.0,0.0,0.2884122919334186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.5,0.5,0.5,0.5269010227168381,0.5051759834368529,0.5164295537838852
tv032,31.979999999999997,8,0.0,0.0,0.2964352720450282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.5,0.5,0.5,0.5269010227168381,0.6335403726708074,0.5783011893946514
tv033,89.34,12,0.0,0.0,0.1678979180658159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.5,0.5,0.5,0.5269010227168381,0.2795031055900621,0.40765522666173215
tv034,136.448,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0950209501216211,0.0040888396859692,0.0013652851975152,0.0088859368364555,0.0273402529603903,0.3192232130490511,0.1680278397231248
tv035,155.87,70,0.0178353756335406,0.0165522550843651,0.1034195162635531,0.0091101558991466,0.0,0.0284852761916982,0.0425996022326297,0.0134727657663437,0.0186052479630461,0.0,0.9994341142363796,0.2178145925712954,0.9749257880503758,0.8848153027210299,0.7692474493947703,0.7828398486613234,0.7757989858412488
tv036,134.19,41,0.0,0.0,0.0989641553021834,0.0040241448692152,0.0040241448692152,0.0,0.0,0.0,0.0374096430434458,0.0,0.5118624152730179,0.9813753752651536,0.0002063089982784,0.0558750453995533,0.3873297862340008,0.7204968944099379,0.5479163323748025
tv037,14.68,3,0.0,0.0,0.3365122615803815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.5,0.5,0.5,0.5269010227168381,0.6531990465591397,0.5877766702088275
tv038,45.39,10,0.0,0.0,0.0,0.0361313064551663,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.9996173915459168,0.5,0.5,0.5601284996155993,0.1909370068632666,0.38217820010897496
tv039,38.440000000000005,12,0.0,0.0,0.0,0.0,0.0,0.0509885535900104,0.04474505723205,0.0509885535900104,0.0,0.0,0.2408966069164803,0.5,0.997719610795192,0.9998374375847068,0.6846134138240948,0.3294493356462541,0.5134243281423756
tv040,42.92,13,0.0,0.0,0.3164026095060578,0.0573159366262814,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.9996173915459168,0.5,0.5,0.6518053706033173,0.6086956521739131,0.6310264863203445
tv041,47.28,21,0.0867174280879864,0.0,0.0905245346869712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999974315610956,0.0040888396859692,0.5,0.0088859368364555,0.3782430520208801,0.453423226875812,0.4144798963009573
tv042,166.82999999999998,68,0.0,0.0,0.1949289696097824,0.0050350656356771,0.0050350656356771,0.0,0.0,0.0098303662410836,0.0,0.0,0.5560165835999645,0.9813753752651536,0.0002063089982784,0.6324515594512827,0.5425124568286699,0.4656108034327351,0.5054458598918293
tv043,51.54,17,0.0,0.0,0.0589833139309274,0.0,0.1587116802483508,0.0,0.0,0.0,0.0,0.0,0.3002002702918852,0.9387261714334026,0.5,0.1466075338698598,0.4713834938987869,0.6497456652531157,0.5573540604915734
tv044,42.36,13,0.0,0.0,0.1251180358829084,0.0254957507082152,0.0,0.0,0.0,0.0684608120868743,0.0,0.0,0.6076040908673526,0.9996173915459168,0.5,0.9998374375847068,0.776764729999494,0.5217468862070157,0.6538461292915194
tv045,9.54,3,0.0,0.0,0.2641509433962264,0.0,0.6582809224318658,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.9943186938471684,0.5,0.5,0.6504806961786302,0.525678840476219,0.5903262017300681
tv046,16.46,3,0.0,0.0,0.0,0.0,0.7059538274605104,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.9943186938471684,0.5,0.5,0.5588038251909122,0.5610766045548654,0.5598993048443377
tv047,8.42,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.2408966069164803,0.5,0.5,0.999997054789799,0.5602234154265698,0.2298136645962732,0.4009659155263669
tv048,44.7,14,0.0,0.0,0.0791946308724832,0.0192393736017896,0.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.5645625089987539,0.9999978130321572,0.5,0.5,0.6411400805077277,0.4491563456090541,0.548603920286567
tv049,43.0,13,0.0,0.0,0.2790697674418603,0.0167441860465117,0.0,0.0,0.1023255813953488,0.0,0.0,0.0,0.6076040908673526,0.9996173915459168,0.9996931558402028,0.5,0.776728659563368,0.7598343685300207,0.7685856112852947
tv050,141.24,28,0.0104786179552534,0.0,0.0354007363353157,0.0025488530161427,0.0,0.0,0.0504106485414896,0.0,0.0114698385726422,0.0410648541489662,0.9996320343701716,0.2178145925712954,0.9996931558402028,0.2237490174384279,0.6102222000550245,0.5950998556972392,0.602933230074572
tv051,41.3,9,0.0,0.0,0.0,0.0,0.0639225181598063,0.0,0.1564164648910411,0.0,0.0,0.0,0.2408966069164803,0.9943186938471684,0.9996931558402028,0.5,0.6837271141509629,0.2567287784679089,0.4779139163517309
tv052,57.18,17,0.1276670164393144,0.0,0.1084295208114725,0.0,0.0,0.0,0.0,0.1133263378803777,0.0,0.0,0.9999974315610956,0.0040888396859692,0.5,0.99905447626528,0.6257851868780862,0.6663518515565187,0.6453383192530906
tv053,43.6,12,0.1688073394495413,0.0,0.413302752293578,0.0,0.0,0.0,0.0954128440366973,0.0,0.0931192660550458,0.0,0.9999978494011044,0.5,0.9996931558402028,0.8684381255758293,0.8420322827042841,0.6790890269151139,0.763493633413904
tv054,85.14,21,0.0,0.0,0.1654921306084097,0.0,0.0,0.0,0.0458069062720225,0.0,0.0,0.0,0.3387673778533657,0.0040888396859692,0.9996931558402028,0.0088859368364555,0.3378588275539984,0.2795031055900621,0.3097313695673811
tv055,7.44,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505376344086021,0.2408966069164803,0.5,0.5,0.9822077777448291,0.5557760961653274,0.4077482506486359,0.4844266746262821
tv056,278.01,73,0.0302866803352398,0.0,0.0635228948598971,0.0095680011510376,0.0277687852954929,0.0187043631524045,0.0164022876874932,0.0107190388834934,0.0,0.0711485198374159,0.9996320343701716,0.9990385635898676,0.9749257880503758,0.9981947518486948,0.9929477844647774,0.6606845163114096,0.8327968892148541
tv057,35.78,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4041363890441588,0.0,0.0570150922302962,0.2408966069164803,0.5,0.5,0.999997054789799,0.5602234154265698,0.8141221794052234,0.6826026196642809
tv058,295.55,43,0.0,0.0,0.0939942480121805,0.0646929453561157,0.0753848756555573,0.0,0.0187447132464895,0.0,0.0,0.0,0.5118624152730179,0.9999978130321572,0.581204772372965,0.004521877866023,0.5243967196360408,0.530959073152966,0.5275597740311988
tv059,64.27,12,0.0,0.0718842383693792,0.0,0.0,0.0,0.0,0.0,0.0,0.0448109537887038,0.0,0.2715714922278129,0.5,0.5,0.8684381255758293,0.5350024044509105,0.3864838124305864,0.4634164430971143
tv060,302.67,83,0.0167839561238312,0.0,0.0861994911950307,0.0220372022334556,0.0149998348035814,0.0385898833713285,0.0,0.0120262992698318,0.0,0.0986553011530709,0.9996320343701716,0.9999568740495752,0.0057480567193133,0.9981947518486948,0.7508829292469388,0.6500102846808726,0.7022623145660949
tv061,34.739999999999995,15,0.0,0.0,0.1727115716753022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6076040908673526,0.0040888396859692,0.5,0.5,0.4029232326383304,0.567287784679089,0.48214694672197606
tv062,11.34,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2408966069164803,0.5,0.5,0.5,0.4352241517291201,0.3923053681634914,0.41453729805048706
tv063,31.32,15,0.061941251596424,0.0,0.0977011494252874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999974315610956,0.0040888396859692,0.5,0.5,0.5010215678117662,0.6518331941640013,0.5737127717135435
tv064,112.56,21,0.0,0.0,0.1175373134328358,0.0,0.0,0.0,0.0357142857142857,0.0,0.0,0.0,0.3387673778533657,0.0040888396859692,0.901909577119142,0.0088859368364555,0.3134129328737332,0.2049689440993789,0.2611429302844944
tv065,114.08,31,0.0404978962131837,0.0,0.1025596072931275,0.0,0.0,0.0,0.0,0.0,0.0,0.0122720897615708,0.9996320343701716,0.0040888396859692,0.0013652851975152,0.0606513711223249,0.2664343825939952,0.2038868971634779,0.23628649461648588
tv066,244.24,72,0.0545365214543072,0.0095807402554864,0.1103013429413691,0.0054045201441205,0.0,0.0,0.0,0.0,0.0,0.0,0.999998383768834,0.2178145925712954,0.0002063089982784,0.004521877866023,0.3056352908011077,0.378539380310976,0.34077506194486423
tv067,61.889999999999986,17,0.0,0.0,0.1837130392632089,0.0106640814348036,0.0,0.0,0.0,0.0,0.0,0.115204394894167,0.3387673778533657,0.2178145925712954,0.5,0.9822077777448291,0.5096974370423726,0.6625258799171841,0.5833607465080317
tv068,423.45,116,0.0593222340299917,0.0207580588026921,0.1194473963868223,0.0046522611878616,0.0046522611878616,0.0079820521903412,0.0232376904002833,0.0152084071318927,0.0,0.0346203802101783,0.9999986467015364,0.9813753752651536,0.9749257880503758,0.9607212199470636,0.9792552574910324,0.5321513478416376,0.7637511730400242
tv069,49.16,9,0.0,0.1871440195280715,0.2546786004882017,0.0,0.272579332790887,0.0,0.272579332790887,0.0,0.1183889340927583,0.0,0.6452806238500515,0.9943186938471684,0.9996931558402028,0.8684381255758293,0.876932649778313,0.6092660582422958,0.7479173526579528
tv070,54.24,21,0.0,0.0,0.1438053097345133,0.0184365781710913,0.0306047197640117,0.0,0.0,0.0328171091445427,0.1238938053097345,0.0,0.3387673778533657,0.9999978130321572,0.5,0.999856645221655,0.7096554590267945,0.9254658385093169,0.8136760619373703
tv071,113.68,42,0.0877902885292048,0.0,0.0994018296973962,0.0381773399014778,0.0381773399014778,0.0,0.0100281491907107,0.0244546094299788,0.0,0.0587614356087262,0.9999989492577062,0.9999978130321572,0.581204772372965,0.9981947518486948,0.8948490716278807,0.6583850931677019,0.7808734340100746
