alpha,u_text,u_voice,nash_product
0.0,0.04919319795368293,0.9999999999999998,
0.001,0.050120685691353264,0.9999995688200392,0.0008818612498773756
0.002,0.05104990207622007,0.9999982719838267,0.0017653637006809994
0.003,0.05198084952254631,0.9999961045306568,0.0026505072141991583
0.004,0.05291353043517815,0.9999930614781682,0.0035372916156713634
0.005,0.05384794720940101,0.9999891378222943,0.00442571669344319
0.006,0.05478410223079523,0.999984328537211,0.005315782198619885
0.007,0.05572199787509009,0.999978628575287,0.006207487844717402
0.008,0.05666163650801695,0.9999720328670335,0.007100833307311645
0.009000000000000001,0.05760302048516132,0.9999645363210543,0.00799581822368578
0.01,0.05854615215181398,0.9999561338239978,0.008892442192475664
0.011,0.059491033842820604,0.9999468202405081,0.00979070477331291
0.012,0.06043766788243074,0.9999365904131751,0.010690605486466435
0.013000000000000001,0.06138605658414533,0.9999254391624895,0.011592143812481656
0.014,0.0623362022505633,0.999913361286794,0.012495319191817882
0.015,0.06328810717322715,0.9999003515622364,0.013400131024483843
0.016,0.06424177363246701,0.9998864047427255,0.01430657866967083
0.017,0.06519720389724407,0.9998715155598822,0.015214661445384312
0.018000000000000002,0.06615440022499239,0.9998556787229967,0.016124378628073168
0.019,0.06711336486146036,0.9998388889189842,0.017035729452257595
0.02,0.06807410004055,0.9998211408123391,0.017948713110154155
0.021,0.06903660798415584,0.9998024290450921,0.018863328751299407
0.022,0.07000089090200252,0.9997827482367689,0.01977957548217166
0.023,0.0709669509914813,0.9997620929843454,0.020697452365810526
0.024,0.07193479043748495,0.9997404578622076,0.021616958421434306
0.025,0.07290441141224233,0.9997178374221094,0.02253809262405607
0.026000000000000002,0.07387581607515094,0.9996942261931335,0.023460853904097037
0.027,0.07484900657260901,0.9996696186816498,0.024385241146998582
0.028,0.07582398503784608,0.9996440093712775,0.025311253192832065
0.029,0.07680075359075239,0.9996173927228447,0.02623888883590657
0.03,0.07777931433770734,0.9995897631743524,0.0271681468243751
0.031,0.0787596693714065,0.9995611151409365,0.028099025859838405
0.032,0.07974182077068782,0.99953144301483,0.029031524596947342
0.033,0.08072577060035614,0.9995007411653276,0.029965641643002725
0.034,0.08171152091100714,0.9994690039387519,0.030901375557554036
0.035,0.08269907373884945,0.9994362256584166,0.031838724851995355
0.036000000000000004,0.0836884311055263,0.9994024006245936,0.032777687989160254
0.037,0.08467959501793539,0.9993675231144798,0.03371826338291416
0.038,0.08567256746804777,0.9993315873821651,0.03466044939774508
0.039,0.0866673504327256,0.9992945876585997,0.03560424434835239
0.04,0.08766394587353873,0.9992565181515638,0.03654964649923392
0.041,0.08866235573657998,0.9992173730456378,0.037496654064270975
